msa,msa_name,fipstate,fipscty,county_name,latitude,longitude
15420,"Burley, ID Micro Area",16,31,"Cassia County, Idaho",42.2219306,-113.5777087
15460,"Burlington, IA-IL Micro Area",17,71,"Henderson County, Illinois",40.8156124,-90.9104547
15500,"Burlington, NC Metro Area",37,1,"Alamance County, North Carolina",36.0702678,-79.3992505
15540,"Burlington-South Burlington, VT Metro Area",50,7,"Chittenden County, Vermont",44.4531756,-73.0673673
15580,"Butte-Silver Bow, MT Micro Area",30,93,"Silver Bow County, Montana",45.9009106,-112.6788845
15620,"Cadillac, MI Micro Area",26,113,"Missaukee County, Michigan",44.336979,-85.1070535
15660,"Calhoun, GA Micro Area",13,129,"Gordon County, Georgia",34.5019651,-84.8986308
15700,"Cambridge, MD Micro Area",24,19,"Dorchester County, Maryland",38.3930694,-76.0995677
15740,"Cambridge, OH Micro Area",39,59,"Guernsey County, Ohio",40.0802222,-81.4859433
15780,"Camden, AR Micro Area",5,13,"Calhoun County, Arkansas",33.5556787,-92.5143633
15820,"Campbellsville, KY Micro Area",21,87,"Green County, Kentucky",37.2433976,-85.5346302
15860,"Canon City, CO Micro Area",8,43,"Fremont County, Colorado",38.4692006,-105.4328622
15900,"Canton, IL Micro Area",17,57,"Fulton County, Illinois",40.4714305,-90.1845556
15940,"Canton-Massillon, OH Metro Area",39,19,"Carroll County, Ohio",40.5250362,-81.0927234
15980,"Cape Coral-Fort Myers, FL Metro Area",12,71,"Lee County, Florida",26.5999265,-81.8823135
16020,"Cape Girardeau, MO-IL Metro Area",17,3,"Alexander County, Illinois",37.1801529,-89.3502834
16060,"Carbondale, IL Micro Area",17,77,"Jackson County, Illinois",37.7668943,-89.3563845
16100,"Carlsbad-Artesia, NM Micro Area",35,15,"Eddy County, New Mexico",32.4003136,-104.345259
16140,"Carroll, IA Micro Area",19,27,"Carroll County, Iowa",42.0193628,-94.860335
16180,"Carson City, NV Metro Area",32,510,"Carson City, Nevada",39.1663259,-119.7670374
16220,"Casper, WY Metro Area",56,25,"Natrona County, Wyoming",42.9487008,-106.8465639
16260,"Cedar City, UT Micro Area",49,21,"Iron County, Utah",37.8546136,-113.2867347
16300,"Cedar Rapids, IA Metro Area",19,11,"Benton County, Iowa",42.0599693,-92.0776319
16340,"Cedartown, GA Micro Area",13,233,"Polk County, Georgia",33.9981581,-85.1567475
16380,"Celina, OH Micro Area",39,107,"Mercer County, Ohio",40.4367866,-84.6109122
16460,"Centralia, IL Micro Area",17,121,"Marion County, Illinois",38.6477381,-88.9232112
16500,"Centralia, WA Micro Area",53,41,"Lewis County, Washington",46.589237,-122.38435711983146
16540,"Chambersburg, PA Metro Area",42,55,"Franklin County, Pennsylvania",39.9259345,-77.7485516
16580,"Champaign-Urbana, IL Metro Area",17,19,"Champaign County, Illinois",40.1346857,-88.1975558
16620,"Charleston, WV Metro Area",54,5,"Boone County, West Virginia",37.997033099999996,-81.71439487504695
16660,"Charleston-Mattoon, IL Micro Area",17,29,"Coles County, Illinois",39.5266741,-88.2184999
16700,"Charleston-North Charleston, SC Metro Area",45,15,"Berkeley County, South Carolina",33.1595951,-79.9070461
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",37,7,"Anson County, North Carolina",34.9705848,-80.0958187
16820,"Charlottesville, VA Metro Area",51,3,"Albemarle County, Virginia",38.0085107,-78.6086754
16860,"Chattanooga, TN-GA Metro Area",13,47,"Catoosa County, Georgia",34.8911137,-85.131315
16940,"Cheyenne, WY Metro Area",56,21,"Laramie County, Wyoming",41.2737321,-104.7268231
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",17,31,"Cook County, Illinois",41.8197385,-87.756525
17020,"Chico, CA Metro Area",6,7,"Butte County, California",39.6519275,-121.5858444
17060,"Chillicothe, OH Micro Area",39,141,"Ross County, Ohio",39.3455507,-83.077359
17140,"Cincinnati, OH-KY-IN Metro Area",18,29,"Dearborn County, Indiana",39.1340338,-84.9820997
17220,"Clarksburg, WV Micro Area",54,17,"Doddridge County, West Virginia",39.2632436,-80.7299566
17260,"Clarksdale, MS Micro Area",28,27,"Coahoma County, Mississippi",34.1931314,-90.5653906
17300,"Clarksville, TN-KY Metro Area",21,47,"Christian County, Kentucky",36.8778665,-87.5014545
17340,"Clearlake, CA Micro Area",6,33,"Lake County, California",39.0505411,-122.7776556
17380,"Cleveland, MS Micro Area",28,11,"Bolivar County, Mississippi",33.7702263,-90.8519798
17410,"Cleveland, OH Metro Area",39,7,"Ashtabula County, Ohio",41.91086185,-80.76115338397186
17420,"Cleveland, TN Metro Area",47,11,"Bradley County, Tennessee",35.1694469,-84.855938
17500,"Clewiston, FL Micro Area",12,43,"Glades County, Florida",26.9328123,-81.1895983
17540,"Clinton, IA Micro Area",19,45,"Clinton County, Iowa",41.9054695,-90.5599971
17580,"Clovis, NM Micro Area",35,9,"Curry County, New Mexico",34.5220133,-103.3099435
17650,"Cody, WY Micro Area",56,29,"Park County, Wyoming",44.6076072,-109.5678484
17660,"Coeur d'Alene, ID Metro Area",16,55,"Kootenai County, Idaho",47.654857,-116.7162916
17740,"Coldwater, MI Micro Area",26,23,"Branch County, Michigan",41.916753,-85.0649374
17780,"College Station-Bryan, TX Metro Area",48,41,"Brazos County, Texas",30.6993189,-96.3497772
17820,"Colorado Springs, CO Metro Area",8,41,"El Paso County, Colorado",38.8287435,-104.5253456
17860,"Columbia, MO Metro Area",29,19,"Boone County, Missouri",39.0153926,-92.3307534
17900,"Columbia, SC Metro Area",45,17,"Calhoun County, South Carolina",33.6567769,-80.7603948
17980,"Columbus, GA-AL Metro Area",1,113,"Russell County, Alabama",32.2698458,-85.1959487
18020,"Columbus, IN Metro Area",18,5,"Bartholomew County, Indiana",39.1914156,-85.8204601
18060,"Columbus, MS Micro Area",28,87,"Lowndes County, Mississippi",33.4466925,-88.4108384
18100,"Columbus, NE Micro Area",31,37,"Colfax County, Nebraska",41.5738643,-97.0828487
18140,"Columbus, OH Metro Area",39,41,"Delaware County, Ohio",40.2317686,-82.9651045
18180,"Concord, NH Micro Area",33,13,"Merrimack County, New Hampshire",43.3260376,-71.6854725
18220,"Connersville, IN Micro Area",18,41,"Fayette County, Indiana",39.619235,-85.179378
18260,"Cookeville, TN Micro Area",47,87,"Jackson County, Tennessee",36.362299,-85.6654772
18300,"Coos Bay-North Bend, OR Micro Area",41,11,"Coos County, Oregon",43.2184144,-124.109621
18340,"Corbin, KY Micro Area",21,51,"Clay County, Kentucky",37.1540436,-83.723144
18380,"Cordele, GA Micro Area",13,81,"Crisp County, Georgia",31.9152265,-83.77777
18420,"Corinth, MS Micro Area",28,3,"Alcorn County, Mississippi",34.8734817,-88.5667345
18460,"Cornelia, GA Micro Area",13,137,"Habersham County, Georgia",34.6270741,-83.5016755
18500,"Corning, NY Micro Area",36,101,"Steuben County, New York",42.2359045,-77.3750862
18580,"Corpus Christi, TX Metro Area",48,7,"Aransas County, Texas",28.1987876,-96.947708
18620,"Corsicana, TX Micro Area",48,349,"Navarro County, Texas",32.0279525,-96.4985456
18660,"Cortland, NY Micro Area",36,23,"Cortland County, New York",42.5842136,-76.0704906
18700,"Corvallis, OR Metro Area",41,3,"Benton County, Oregon",44.494937,-123.4065679
18740,"Coshocton, OH Micro Area",39,31,"Coshocton County, Ohio",40.2905684,-81.9271441
18820,"Crawfordsville, IN Micro Area",18,107,"Montgomery County, Indiana",40.0361447,-86.9007083
18860,"Crescent City, CA Micro Area",6,15,"Del Norte County, California",41.7261767,-123.91328
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",12,91,"Okaloosa County, Florida",30.6765961,-86.6037748
18900,"Crossville, TN Micro Area",47,35,"Cumberland County, Tennessee",35.953805,-84.9748195
18980,"Cullman, AL Micro Area",1,43,"Cullman County, Alabama",34.1335332,-86.8779268
19060,"Cumberland, MD-WV Micro Area",24,1,"Allegany County, Maryland",39.6572451,-78.6550628
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",48,85,"Collin County, Texas",33.1609629,-96.6060984
19140,"Dalton, GA Metro Area",13,213,"Murray County, Georgia",34.7851861,-84.7352262
19180,"Danville, IL Micro Area",17,183,"Vermilion County, Illinois",40.1749809,-87.7323857
19220,"Danville, KY Micro Area",21,21,"Boyle County, Kentucky",37.6240938,-84.8540572
19260,"Danville, VA Micro Area",51,143,"Pittsylvania County, Virginia",36.8121678,-79.4364106
19300,"Daphne-Fairhope-Foley, AL Metro Area",1,3,"Baldwin County, Alabama",30.5677527,-87.7324392
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",17,73,"Henry County, Illinois",41.3418549,-90.1177442
19430,"Dayton-Kettering-Beavercreek, OH Metro Area",39,57,"Greene County, Ohio",39.6908207,-83.9175037
19460,"Decatur, AL Metro Area",1,79,"Lawrence County, Alabama",34.4776367,-87.3017331
19500,"Decatur, IL Metro Area",17,115,"Macon County, Illinois",39.8455208,-88.9602376
19540,"Decatur, IN Micro Area",18,1,"Adams County, Indiana",40.7371667,-84.9347295
19580,"Defiance, OH Micro Area",39,39,"Defiance County, Ohio",41.3203058,-84.5084835
19620,"Del Rio, TX Micro Area",48,465,"Val Verde County, Texas",29.9153286,-101.1284631
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",12,35,"Flagler County, Florida",29.4844412,-81.2917415
